Id,Name,sustain_app__CalendarYear__c,sustain_app__Currency__c,sustain_app__DataSource__c,sustain_app__InflationRateKey__c,sustain_app__InflationRate__c
a0J1g0000044uFhEAI,IR-0112,2007,JPY,Based on annual CPI change since prior year,JPY-2007,0.06
a0J1g0000044uFiEAI,IR-0113,2008,JPY,Based on annual CPI change since prior year,JPY-2008,1.3801
a0J1g0000044uFjEAI,IR-0114,2009,JPY,Based on annual CPI change since prior year,JPY-2009,-1.3528
a0J1g0000044uFkEAI,IR-0115,2010,JPY,Based on annual CPI change since prior year,JPY-2010,-0.72
a0J1g0000044uFlEAI,IR-0116,2011,JPY,Based on annual CPI change since prior year,JPY-2011,-0.2676
a0J1g0000044uFmEAI,IR-0117,2012,JPY,Based on annual CPI change since prior year,JPY-2012,-0.0519
a0J1g0000044uFnEAI,IR-0118,2013,JPY,Based on annual CPI change since prior year,JPY-2013,0.3464
a0J1g0000044uFoEAI,IR-0119,2014,JPY,Based on annual CPI change since prior year,JPY-2014,2.762
a0J1g0000044uFpEAI,IR-0120,2015,JPY,Based on annual CPI change since prior year,JPY-2015,0.7895
a0J1g0000044uFqEAI,IR-0121,2016,JPY,Based on annual CPI change since prior year,JPY-2016,-0.1167
a0J1g0000044uFrEAI,IR-0122,2017,JPY,Based on annual CPI change since prior year,JPY-2017,0.4672
a0J1g0000044uFsEAI,IR-0123,2018,JPY,Based on annual CPI change since prior year,JPY-2018,0.9799
a0J1g0000044uFtEAI,IR-0124,2019,JPY,Based on annual CPI change since prior year,JPY-2019,0.477
a0J1g0000044uFuEAI,IR-0125,2020,JPY,Based on annual CPI change since prior year,JPY-2020,0
a0J1g0000044uFgEAI,IR-0111,2006,JPY,Based on annual CPI change since prior year,JPY-2006,0.2494
a0J1g0000044uDtEAI,IR-0000,2000,USD,Average CPI-U change from prior year average CPI-U. From https://www.bls.gov/,USD-2000,3.3769
a0J1g0000044uDuEAI,IR-0001,2001,USD,Average CPI-U change from prior year average CPI-U. From https://www.bls.gov/,USD-2001,2.8262
a0J1g0000044uDvEAI,IR-0002,2002,USD,Average CPI-U change from prior year average CPI-U. From https://www.bls.gov/,USD-2002,1.586
a0J1g0000044uDwEAI,IR-0003,2003,USD,Average CPI-U change from prior year average CPI-U. From https://www.bls.gov/,USD-2003,2.2701
a0J1g0000044uDxEAI,IR-0004,2004,USD,Average CPI-U change from prior year average CPI-U. From https://www.bls.gov/,USD-2004,2.6772
a0J1g0000044uDzEAI,IR-0006,2006,USD,Average CPI-U change from prior year average CPI-U. From https://www.bls.gov/,USD-2006,3.2259
a0J1g0000044uE0EAI,IR-0007,2007,USD,Average CPI-U change from prior year average CPI-U. From https://www.bls.gov/,USD-2007,2.8527
a0J1g0000044uE1EAI,IR-0008,2008,USD,Average CPI-U change from prior year average CPI-U. From https://www.bls.gov/,USD-2008,3.8391
a0J1g0000044uE2EAI,IR-0009,2009,USD,Average CPI-U change from prior year average CPI-U. From https://www.bls.gov/,USD-2009,-0.3555
a0J1g0000044uE3EAI,IR-0010,2010,USD,Average CPI-U change from prior year average CPI-U. From https://www.bls.gov/,USD-2010,1.64
a0J1g0000044uE4EAI,IR-0011,2011,USD,Average CPI-U change from prior year average CPI-U. From https://www.bls.gov/,USD-2011,3.1568
a0J1g0000044uE5EAI,IR-0012,2012,USD,Average CPI-U change from prior year average CPI-U. From https://www.bls.gov/,USD-2012,2.0693
a0J1g0000044uE6EAI,IR-0013,2013,USD,Average CPI-U change from prior year average CPI-U. From https://www.bls.gov/,USD-2013,1.4648
a0J1g0000044uE7EAI,IR-0014,2014,USD,Average CPI-U change from prior year average CPI-U. From https://www.bls.gov/,USD-2014,1.6222
a0J1g0000044uE8EAI,IR-0015,2015,USD,Average CPI-U change from prior year average CPI-U. From https://www.bls.gov/,USD-2015,0.1186
a0J1g0000044uE9EAI,IR-0016,2016,USD,Average CPI-U change from prior year average CPI-U. From https://www.bls.gov/,USD-2016,1.2616
a0J1g0000044uEAEAY,IR-0017,2017,USD,Average CPI-U change from prior year average CPI-U. From https://www.bls.gov/,USD-2017,2.1301
a0J1g0000044uEBEAY,IR-0018,2018,USD,Average CPI-U change from prior year average CPI-U. From https://www.bls.gov/,USD-2018,2.4426
a0J1g0000044uECEAY,IR-0019,2019,USD,Average CPI-U change from prior year average CPI-U. From https://www.bls.gov/,USD-2019,1.8122
a0J1g0000044uEDEAY,IR-0020,2020,USD,Average CPI-U change from prior year average CPI-U. From https://www.bls.gov/,USD-2020,1.2336
a0J1g0000044uEEEAY,IR-0021,2000,EUR,Based on annual CPI change since prior year,EUR-2000,2.1046
a0J1g0000044uEFEAY,IR-0022,2001,EUR,Based on annual CPI change since prior year,EUR-2001,2.35
a0J1g0000044uEGEAY,IR-0023,2002,EUR,Based on annual CPI change since prior year,EUR-2002,2.2319
a0J1g0000044uEHEAY,IR-0024,2003,EUR,Based on annual CPI change since prior year,EUR-2003,2.0954
a0J1g0000044uEIEAY,IR-0025,2004,EUR,Based on annual CPI change since prior year,EUR-2004,2.1384
a0J1g0000044uDyEAI,IR-0005,2005,USD,Average CPI-U change from prior year average CPI-U. From https://www.bls.gov/,USD-2005,3.3927
a0J1g0000044uEJEAY,IR-0026,2005,EUR,Based on annual CPI change since prior year,EUR-2005,2.1778
a0J1g0000044uEKEAY,IR-0027,2006,EUR,Based on annual CPI change since prior year,EUR-2006,2.1785
a0J1g0000044uELEAY,IR-0028,2007,EUR,Based on annual CPI change since prior year,EUR-2007,2.1436
a0J1g0000044uEMEAY,IR-0029,2008,EUR,Based on annual CPI change since prior year,EUR-2008,3.272
a0J1g0000044uENEAY,IR-0030,2009,EUR,Based on annual CPI change since prior year,EUR-2009,0.295
a0J1g0000044uEOEAY,IR-0031,2010,EUR,Based on annual CPI change since prior year,EUR-2010,1.6122
a0J1g0000044uEPEAY,IR-0032,2011,EUR,Based on annual CPI change since prior year,EUR-2011,2.7123
a0J1g0000044uEQEAY,IR-0033,2012,EUR,Based on annual CPI change since prior year,EUR-2012,2.505
