Id,sustain_app__ConsumptionReport__c,sustain_app__EnergyConsumption__c,Name,sustain_app__UniqueInventoryId__c,sustain_app__ConsumptionReport__r.Name,sustain_app__EnergyConsumption__r.Name
a071g0000031YBrAAM,a081g0000045KANAA2,a0G1g000001voinEAA,CFR-000000000,a081g0000045KANAA2a0G1g000001voinEAA,140 Mission St FY21,140 Mission St - Apr2020
a071g0000031YBsAAM,a081g0000045KANAA2,a0G1g000001voikEAA,CFR-000000001,a081g0000045KANAA2a0G1g000001voikEAA,140 Mission St FY21,140 Mission St - Aug2020
a071g0000031YBtAAM,a081g0000045KANAA2,a0G1g000001voipEAA,CFR-000000002,a081g0000045KANAA2a0G1g000001voipEAA,140 Mission St FY21,140 Mission St - Dec2020
a071g0000031YBuAAM,a081g0000045KANAA2,a0G1g000001voimEAA,CFR-000000003,a081g0000045KANAA2a0G1g000001voimEAA,140 Mission St FY21,140 Mission St - Feb2020
a071g0000031YBvAAM,a081g0000045KANAA2,a0G1g000001voiqEAA,CFR-000000004,a081g0000045KANAA2a0G1g000001voiqEAA,140 Mission St FY21,140 Mission St - Jan2020
a071g0000031YBwAAM,a081g0000045KANAA2,a0G1g000001voiiEAA,CFR-000000005,a081g0000045KANAA2a0G1g000001voiiEAA,140 Mission St FY21,140 Mission St - Jul2020
a071g0000031YBxAAM,a081g0000045KANAA2,a0G1g000001voijEAA,CFR-000000006,a081g0000045KANAA2a0G1g000001voijEAA,140 Mission St FY21,140 Mission St - Jun2020
a071g0000031YByAAM,a081g0000045KANAA2,a0G1g000001voioEAA,CFR-000000007,a081g0000045KANAA2a0G1g000001voioEAA,140 Mission St FY21,140 Mission St - Mar2020
a071g0000031YBzAAM,a081g0000045KANAA2,a0G1g000001voirEAA,CFR-000000008,a081g0000045KANAA2a0G1g000001voirEAA,140 Mission St FY21,140 Mission St - May2020
a071g0000031YC0AAM,a081g0000045KANAA2,a0G1g000001voilEAA,CFR-000000009,a081g0000045KANAA2a0G1g000001voilEAA,140 Mission St FY21,140 Mission St - Nov2020
a071g0000031YC1AAM,a081g0000045KANAA2,a0G1g000001voigEAA,CFR-000000010,a081g0000045KANAA2a0G1g000001voigEAA,140 Mission St FY21,140 Mission St - Oct2020
a071g0000031YC2AAM,a081g0000045KANAA2,a0G1g000001voihEAA,CFR-000000011,a081g0000045KANAA2a0G1g000001voihEAA,140 Mission St FY21,140 Mission St - Sep2020
a071g0000031YC3AAM,a081g0000045KAOAA2,a0G1g000001voizEAA,CFR-000000012,a081g0000045KAOAA2a0G1g000001voizEAA,499 Centennial Pkwy FY21,499 Centennial Pkwy - Apr2020
a071g0000031YC4AAM,a081g0000045KAOAA2,a0G1g000001voiwEAA,CFR-000000013,a081g0000045KAOAA2a0G1g000001voiwEAA,499 Centennial Pkwy FY21,499 Centennial Pkwy - Aug2020
a071g0000031YC5AAM,a081g0000045KAOAA2,a0G1g000001voj1EAA,CFR-000000014,a081g0000045KAOAA2a0G1g000001voj1EAA,499 Centennial Pkwy FY21,499 Centennial Pkwy - Dec2020
a071g0000031YC6AAM,a081g0000045KAOAA2,a0G1g000001voiyEAA,CFR-000000015,a081g0000045KAOAA2a0G1g000001voiyEAA,499 Centennial Pkwy FY21,499 Centennial Pkwy - Feb2020
a071g0000031YC7AAM,a081g0000045KAOAA2,a0G1g000001voj2EAA,CFR-000000016,a081g0000045KAOAA2a0G1g000001voj2EAA,499 Centennial Pkwy FY21,499 Centennial Pkwy - Jan2020
a071g0000031YC8AAM,a081g0000045KAOAA2,a0G1g000001voiuEAA,CFR-000000017,a081g0000045KAOAA2a0G1g000001voiuEAA,499 Centennial Pkwy FY21,499 Centennial Pkwy - Jul2020
a071g0000031YC9AAM,a081g0000045KAOAA2,a0G1g000001voivEAA,CFR-000000018,a081g0000045KAOAA2a0G1g000001voivEAA,499 Centennial Pkwy FY21,499 Centennial Pkwy - Jun2020
a071g0000031YCAAA2,a081g0000045KAOAA2,a0G1g000001voj0EAA,CFR-000000019,a081g0000045KAOAA2a0G1g000001voj0EAA,499 Centennial Pkwy FY21,499 Centennial Pkwy - Mar2020
a071g0000031YCBAA2,a081g0000045KAOAA2,a0G1g000001voj3EAA,CFR-000000020,a081g0000045KAOAA2a0G1g000001voj3EAA,499 Centennial Pkwy FY21,499 Centennial Pkwy - May2020
a071g0000031YCCAA2,a081g0000045KAOAA2,a0G1g000001voixEAA,CFR-000000021,a081g0000045KAOAA2a0G1g000001voixEAA,499 Centennial Pkwy FY21,499 Centennial Pkwy - Nov2020
a071g0000031YCDAA2,a081g0000045KAOAA2,a0G1g000001voisEAA,CFR-000000022,a081g0000045KAOAA2a0G1g000001voisEAA,499 Centennial Pkwy FY21,499 Centennial Pkwy - Oct2020
a071g0000031YCEAA2,a081g0000045KAOAA2,a0G1g000001voitEAA,CFR-000000023,a081g0000045KAOAA2a0G1g000001voitEAA,499 Centennial Pkwy FY21,499 Centennial Pkwy - Sep2020
a071g0000031YCFAA2,a081g0000045KAPAA2,a0G1g000001vojBEAQ,CFR-000000024,a081g0000045KAPAA2a0G1g000001vojBEAQ,940 14th St #290 FY21,940 14th St #290 - Apr2020
a071g0000031YCGAA2,a081g0000045KAPAA2,a0G1g000001voj8EAA,CFR-000000025,a081g0000045KAPAA2a0G1g000001voj8EAA,940 14th St #290 FY21,940 14th St #290 - Aug2020
a071g0000031YCHAA2,a081g0000045KAPAA2,a0G1g000001vojDEAQ,CFR-000000026,a081g0000045KAPAA2a0G1g000001vojDEAQ,940 14th St #290 FY21,940 14th St #290 - Dec2020
a071g0000031YCIAA2,a081g0000045KAPAA2,a0G1g000001vojAEAQ,CFR-000000027,a081g0000045KAPAA2a0G1g000001vojAEAQ,940 14th St #290 FY21,940 14th St #290 - Feb2020
a071g0000031YCJAA2,a081g0000045KAPAA2,a0G1g000001vojEEAQ,CFR-000000028,a081g0000045KAPAA2a0G1g000001vojEEAQ,940 14th St #290 FY21,940 14th St #290 - Jan2020
a071g0000031YCKAA2,a081g0000045KAPAA2,a0G1g000001voj6EAA,CFR-000000029,a081g0000045KAPAA2a0G1g000001voj6EAA,940 14th St #290 FY21,940 14th St #290 - Jul2020
a071g0000031YCLAA2,a081g0000045KAPAA2,a0G1g000001voj7EAA,CFR-000000030,a081g0000045KAPAA2a0G1g000001voj7EAA,940 14th St #290 FY21,940 14th St #290 - Jun2020
a071g0000031YCMAA2,a081g0000045KAPAA2,a0G1g000001vojCEAQ,CFR-000000031,a081g0000045KAPAA2a0G1g000001vojCEAQ,940 14th St #290 FY21,940 14th St #290 - Mar2020
a071g0000031YCNAA2,a081g0000045KAPAA2,a0G1g000001vojFEAQ,CFR-000000032,a081g0000045KAPAA2a0G1g000001vojFEAQ,940 14th St #290 FY21,940 14th St #290 - May2020
a071g0000031YCOAA2,a081g0000045KAPAA2,a0G1g000001voj9EAA,CFR-000000033,a081g0000045KAPAA2a0G1g000001voj9EAA,940 14th St #290 FY21,940 14th St #290 - Nov2020
a071g0000031YCPAA2,a081g0000045KAPAA2,a0G1g000001voj4EAA,CFR-000000034,a081g0000045KAPAA2a0G1g000001voj4EAA,940 14th St #290 FY21,940 14th St #290 - Oct2020
a071g0000031YCQAA2,a081g0000045KAPAA2,a0G1g000001voj5EAA,CFR-000000035,a081g0000045KAPAA2a0G1g000001voj5EAA,940 14th St #290 FY21,940 14th St #290 - Sep2020
a071g0000031YCRAA2,a081g0000045KAfAAM,a0G1g000001vp0lEAA,CFR-000000036,a081g0000045KAfAAMa0G1g000001vp0lEAA,Air Travel - All Org - FY19,AT-FY19-AMER-1001
a071g0000031YCSAA2,a081g0000045KAfAAM,a0G1g000001vp0mEAA,CFR-000000037,a081g0000045KAfAAMa0G1g000001vp0mEAA,Air Travel - All Org - FY19,AT-FY19-AMER-1002
a071g0000031YCTAA2,a081g0000045KAfAAM,a0G1g000001vp0nEAA,CFR-000000038,a081g0000045KAfAAMa0G1g000001vp0nEAA,Air Travel - All Org - FY19,AT-FY19-AMER-1003
a071g0000031YCUAA2,a081g0000045KAfAAM,a0G1g000001vp0oEAA,CFR-000000039,a081g0000045KAfAAMa0G1g000001vp0oEAA,Air Travel - All Org - FY19,AT-FY19-AMER-1004
a071g0000031YCVAA2,a081g0000045KAfAAM,a0G1g000001vp0pEAA,CFR-000000040,a081g0000045KAfAAMa0G1g000001vp0pEAA,Air Travel - All Org - FY19,AT-FY19-AMER-1005
a071g0000031YCWAA2,a081g0000045KAfAAM,a0G1g000001vp0qEAA,CFR-000000041,a081g0000045KAfAAMa0G1g000001vp0qEAA,Air Travel - All Org - FY19,AT-FY19-AMER-1006
a071g0000031YCXAA2,a081g0000045KAfAAM,a0G1g000001vp0rEAA,CFR-000000042,a081g0000045KAfAAMa0G1g000001vp0rEAA,Air Travel - All Org - FY19,AT-FY19-AMER-1007
a071g0000031YCYAA2,a081g0000045KAfAAM,a0G1g000001vp0sEAA,CFR-000000043,a081g0000045KAfAAMa0G1g000001vp0sEAA,Air Travel - All Org - FY19,AT-FY19-AMER-1008
a071g0000031YCZAA2,a081g0000045KAfAAM,a0G1g000001vp0tEAA,CFR-000000044,a081g0000045KAfAAMa0G1g000001vp0tEAA,Air Travel - All Org - FY19,AT-FY19-AMER-1009
a071g0000031YCaAAM,a081g0000045KAfAAM,a0G1g000001vp0uEAA,CFR-000000045,a081g0000045KAfAAMa0G1g000001vp0uEAA,Air Travel - All Org - FY19,AT-FY19-AMER-1010
a071g0000031YCbAAM,a081g0000045KAfAAM,a0G1g000001vp0vEAA,CFR-000000046,a081g0000045KAfAAMa0G1g000001vp0vEAA,Air Travel - All Org - FY19,AT-FY19-AMER-1011
a071g0000031YCcAAM,a081g0000045KAfAAM,a0G1g000001vp0wEAA,CFR-000000047,a081g0000045KAfAAMa0G1g000001vp0wEAA,Air Travel - All Org - FY19,AT-FY19-AMER-1012
a071g0000031YCdAAM,a081g0000045KAfAAM,a0G1g000001vp0xEAA,CFR-000000048,a081g0000045KAfAAMa0G1g000001vp0xEAA,Air Travel - All Org - FY19,AT-FY19-AMER-1013
a071g0000031YCeAAM,a081g0000045KAfAAM,a0G1g000001vp0yEAA,CFR-000000049,a081g0000045KAfAAMa0G1g000001vp0yEAA,Air Travel - All Org - FY19,AT-FY19-AMER-1014
a071g0000031YCfAAM,a081g0000045KAfAAM,a0G1g000001vp0zEAA,CFR-000000050,a081g0000045KAfAAMa0G1g000001vp0zEAA,Air Travel - All Org - FY19,AT-FY19-AMER-1015
a071g0000031YCgAAM,a081g0000045KAfAAM,a0G1g000001vp10EAA,CFR-000000051,a081g0000045KAfAAMa0G1g000001vp10EAA,Air Travel - All Org - FY19,AT-FY19-AMER-1016
a071g0000031YChAAM,a081g0000045KAfAAM,a0G1g000001vp11EAA,CFR-000000052,a081g0000045KAfAAMa0G1g000001vp11EAA,Air Travel - All Org - FY19,AT-FY19-AMER-1017
a071g0000031YCiAAM,a081g0000045KAfAAM,a0G1g000001vp12EAA,CFR-000000053,a081g0000045KAfAAMa0G1g000001vp12EAA,Air Travel - All Org - FY19,AT-FY19-AMER-1018
a071g0000031YCjAAM,a081g0000045KAfAAM,a0G1g000001vp13EAA,CFR-000000054,a081g0000045KAfAAMa0G1g000001vp13EAA,Air Travel - All Org - FY19,AT-FY19-AMER-1019
a071g0000031YCkAAM,a081g0000045KAfAAM,a0G1g000001vp14EAA,CFR-000000055,a081g0000045KAfAAMa0G1g000001vp14EAA,Air Travel - All Org - FY19,AT-FY19-AMER-1020
a071g0000031YClAAM,a081g0000045KAfAAM,a0G1g000001vp15EAA,CFR-000000056,a081g0000045KAfAAMa0G1g000001vp15EAA,Air Travel - All Org - FY19,AT-FY19-AMER-1021
a071g0000031YCmAAM,a081g0000045KAfAAM,a0G1g000001vp16EAA,CFR-000000057,a081g0000045KAfAAMa0G1g000001vp16EAA,Air Travel - All Org - FY19,AT-FY19-AMER-1022
a071g0000031YCnAAM,a081g0000045KAfAAM,a0G1g000001vp17EAA,CFR-000000058,a081g0000045KAfAAMa0G1g000001vp17EAA,Air Travel - All Org - FY19,AT-FY19-AMER-1023
a071g0000031YCoAAM,a081g0000045KAfAAM,a0G1g000001vp18EAA,CFR-000000059,a081g0000045KAfAAMa0G1g000001vp18EAA,Air Travel - All Org - FY19,AT-FY19-AMER-1024
a071g0000031YCpAAM,a081g0000045KAfAAM,a0G1g000001vp19EAA,CFR-000000060,a081g0000045KAfAAMa0G1g000001vp19EAA,Air Travel - All Org - FY19,AT-FY19-AMER-1025
